,BASEL III T+1,BASEL III T+2,BASEL III T+3,BASEL III T+4
q0,0.028298549397033083,0.028326062041883763,0.028287766862791962,0.02824294550252395
q0q1,0.013947397756150531,0.014005824969860215,0.014000737273703757,0.013992669693343405
q0q2,0.01594583971510378,0.01601264280608074,0.01602345869739703,0.016031127503000214
q0q3,0.01742911950206862,0.017502140393353988,0.017523603282719805,0.017491839763072437
