,BASEL III T+1,BASEL III T+2,BASEL III T+3,BASEL III T+4
q0,0.4789280116495528,0.4456779241681305,0.399355437529,0.36918463667538587
q0q1,0.3645100778997386,0.3226402101184074,0.29734810743911105,0.2724258364919071
q0q2,0.4446149505610254,0.3689079701634272,0.35307762122936026,0.3329733647946093
q0q3,0.4358832071404286,0.3943322911298121,0.3735703280243076,0.34790033530438713
