,BASEL III T+1,BASEL III T+2,BASEL III T+3,BASEL III T+4
q0,0.10583894460746722,0.09162408206881564,0.095116988585466,0.0977572296673529
q0q1,0.2538034304007294,0.20822320953013584,0.182528259259362,0.15660552591005186
q0q2,0.3044835411858989,0.23160401370006006,0.1969027946496394,0.18899032315926692
q0q3,0.2551905975600856,0.24023548635292286,0.22029333846033494,0.20723573328618772
