,BASEL III T+1,BASEL III T+2,BASEL III T+3,BASEL III T+4
q0,0.02102551192906019,0.02107279482713796,0.0211171214407654,0.021199003092280327
q0q1,0.30308646340400186,0.2454508666769454,0.2307582428295293,0.20186887339025675
q0q2,0.27357804927671786,0.2294937085130437,0.2020794743420444,0.19842499488766308
q0q3,0.2833707351898224,0.2198549784546884,0.2143885565401248,0.19933718174305293
