IDRSSD,RCFD2143,RCFD2150,RCFD2651,RCFD3163,RCFD3164,RCFD3190,RCFD4088,RCFD6164,RCFD6165,RCFDA590,RCFDB569,RCFDB570,RCFDB571,RCFDF055,RCFDF056,RCFDF057,RCFDF058,RCFDF059,RCFDF060,RCFDF061,RCFDF062,RCFDF063,RCFDF065,RCFDJA29,RCFDJF76,RCFDK192,RCFDK193,RCFDK194,RCFN5513,RCON2143,RCON2150,RCON2651,RCON3163,RCON3164,RCON3190,RCON4088,RCON5508,RCON5509,RCON5510,RCON5511,RCON5512,RCON6164,RCON6165,RCONA590,RCONB569,RCONB570,RCONB571,RCONF055,RCONF056,RCONF057,RCONF058,RCONF059,RCONF060,RCONF061,RCONF062,RCONF063,RCONF064,RCONF065,RCONG463,RCONG464,RCONJA29,RCONJF76,RCONK192,RCONK193,RCONK194,RCONL133,RCONL135,RCONLG26,RCONLG27,RCONLG28,RCONLL57,RCONLL59,RCONLL60,RCONMM07,RCONMQ52,RCONN523,RCONN524,TE01N528,TE01N529,TE02N528,TE02N529,TE03N528,TE03N529,TE04N528,TE04N529,TE05N528,TE05N529,TE06N528,TE06N529,TE07N528,TE08N528,TE09N528,TE10N528,TEXT4087,
30810,0,198,525000,0,0,14182002,,207,0,0,false,0,4530938,525000,0,0,523000,0,4588474,7165873,889869,489786,9608001,32381,0,0,,,,,,,,,,,0,0,198,0,0,,,,,,,,,,,,,,,,0,,true,false,,,,,,,,0,0,0,0,0,0,,,,,www.discover.com/,,www.mydiscoverbank.com/,,aaa.discoverbank.com/,,aaii.discoverbank.com/,,www.discoverbank.com/,,bank.discover.com/,,,,,,www.discover.com,
31134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,6999,3,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.fnbwaynesboro.com,
31255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933,1900,0,933,0,0,,0,0,0,0,1900,982,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.centralbankhouston.com,
31657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,320,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.fsbbenwheeler.com,
31826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,0,0,865,20,0,,0,0,0,0,0,5082,1,20,true,61060,0,0,0,0,0,0,0,0,0,0,0,0,true,false,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.powellvalleybank.com,
31835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,0,0,0,0,,0,0,24,0,0,9040,3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.bankofanguilla.com,
32234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5885,0,0,5188,0,0,,0,0,0,0,0,994,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,697,,,,,,0,0,0,0,0,0,,,,,www.qwickrate.com,,,,,,,,,,,,,,,,www.firstnbtc.com,
32766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878,0,0,1063,0,47000,,0,0,0,0,0,0,0,0,,,0,0,19000,28000,0,0,0,0,0,0,0,0,,,,815,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http://www.LBTEXAS.com,
32971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,0,7500,0,370,17500,,0,0,0,0,0,961,0,370,,,0,7500,0,10000,0,10000,0,0,0,0,0,0,,,63,0,,,,1,true,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.secfedbank.com,
33147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,0,0,0,0,,0,0,0,0,66,2895,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,www.fbtbly.com,
33259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1485,24000,0,0,50500,,818,0,0,0,667,1450,1,0,,,14500,24000,12000,0,0,0,14500,0,0,0,0,14500,,,,0,,,,,,1,47,0,0,0,0,,,,,www.remotedeposit.premierbanks.com,,www.olb-ebanking.com,,,,,,,,,,,,,,www..premierbanks.com,
