IDRSSD,RCFD0010,RCFD0022,RCFD0070,RCFD0082,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,
,CASH AND DUE FROM DEPOSITORIES,CASH & CASH ITEMS IN PROCESS OF COLL,BALANCES WITH BKS IN FGN COUNTRIES,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,CASH AND DUE FROM DEPOSITORIES,CASH ITEMS IN PROCESS OF COLLECTION,BALANCES WITH BKS IN FGN COUNTRIES,CURR&COIN (U.S. & FGN) VAULT CASH,BALANCES DUE FROM DEPOSITORY INSTITU,BALANCES WITH F. R. BKS (COML BK BOO,
48150,,,,,,,,,,,,
48374,,,,,,,,,,,,
48440,,,,,,,,,,,,
49054,,,,,,,,,,,,
49148,,,,,,,,,,,,
49241,,,,,,,,,,,,
49652,,,,,,,,,,,,
49858,,,,,,,,,,,,
49951,,,,,,,,,,,,
50144,,,,,,,,,,,,
50461,,,,,,,,,,,,
51253,,,,,,118915,58,0,5228,17229,96400,
51356,,,,,,,,,,,,
51459,,,,,,,,,,,,
51842,,,,,,38876,5,0,2586,4683,31602,
52719,,,,,,5542652,0,25779,0,3042198,2474675,
52951,,,,,,,,,,,,
53051,,,,,,,,,,,,
54058,,,,,,5304,3251,0,1114,939,0,
54656,,,,,,321378,5104,0,4399,186,311689,
54973,,,,,,334835,33532,0,104177,1610,195516,
55336,,,,,,,,,,,,
55635,,,,,,,,,,,,
55653,,,,,,,,,,,,
55970,,,,,,,,,,,,
56258,,,,,,,,,,,,
56351,,,,,,382152,26217,0,28747,16094,311094,
56548,,,,,,,,,,,,
56717,,,,,,,,,,,,
57451,,,,,,,,,,,,
58225,,,,,,,,,,,,
58243,,,,,,159157,37776,0,14248,14872,92261,
58355,,,,,,,,,,,,
58551,,,,,,,,,,,,
58636,,,,,,,,,,,,
58757,,,,,,,,,,,,
58971,,,,,,330368,73463,0,26209,7034,223662,
59316,,,,,,,,,,,,
59352,,,,,,,,,,,,
59370,,,,,,,,,,,,
59754,,,,,,,,,,,,
60143,4909000,755000,194000,36000,3924000,4754000,426000,39000,329000,36000,3924000,
60330,,,,,,204885,96,0,12981,7502,184306,
60545,,,,,,,,,,,,
60554,,,,,,,,,,,,
60648,,,,,,,,,,,,
61122,,,,,,45092,12219,0,5244,2626,25003,
61355,,,,,,,,,,,,
61476,,,,,,,,,,,,
61757,,,,,,22355,0,0,2166,775,19414,
61832,,,,,,,,,,,,
61953,,,,,,,,,,,,
62044,,,,,,,,,,,,
62110,,,,,,,,,,,,
62147,,,,,,,,,,,,
63050,,,,,,,,,,,,
63069,5952245,321096,60509,74972,5495668,5952245,220899,60509,100197,74972,5495668,
63201,,,,,,,,,,,,
63573,,,,,,,,,,,,
63733,,,,,,29344,617,0,11763,12207,4757,
64150,,,,,,,,,,,,
64552,,,,,,8192,642,0,661,1459,5430,
64730,,,,,,,,,,,,
65205,,,,,,,,,,,,
65559,,,,,,48743,4630,0,3846,1741,38526,
65858,,,,,,,,,,,,
66154,,,,,,,,,,,,
66275,,,,,,,,,,,,
67142,,,,,,,,,,,,
67151,,,,,,,,,,,,
67209,,,,,,,,,,,,
67254,,,,,,,,,,,,
67656,,,,,,125411,6093,0,7019,1592,110707,
67870,,,,,,,,,,,,
68671,,,,,,,,,,,,
68756,,,,,,64459,8778,0,4786,18625,32270,
68831,,,,,,,,,,,,
69333,,,,,,84667,46,0,11674,3963,68984,
69678,,,,,,,,,,,,
70218,,,,,,,,,,,,
70414,,,,,,,,,,,,
70638,,,,,,,,,,,,
70955,,,,,,,,,,,,
71073,,,,,,,,,,,,
71457,,,,,,,,,,,,
71859,,,,,,,,,,,,
72258,,,,,,,,,,,,
72351,,,,,,,,,,,,
72454,,,,,,,,,,,,
72678,,,,,,,,,,,,
73116,,,,,,,,,,,,
73152,,,,,,,,,,,,
73554,,,,,,,,,,,,
73956,,,,,,,,,,,,
74056,,,,,,,,,,,,
74140,,,,,,23375,15692,0,6305,610,768,
74403,,,,,,35260,7944,0,3480,1638,22198,
74449,,,,,,,,,,,,
75259,,,,,,,,,,,,
75446,,,,,,,,,,,,
75455,,,,,,,,,,,,
75633,24320538,2377975,1528597,142618,20271348,24320538,1403514,1528597,974461,142618,20271348,
75651,,,,,,,,,,,,
76153,,,,,,,,,,,,
76443,,,,,,,,,,,,
76854,,,,,,,,,,,,
77150,,,,,,,,,,,,
77253,,,,,,,,,,,,
77422,,,,,,,,,,,,
