IDRSSD,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,RCONJJ04,RCONJJ05,RCONJJ06,RCONJJ07,RCONJJ08,RCONJJ09,RCONJJ11,RCONJJ12,RCONJJ13,RCONJJ14,RCONJJ15,RCONJJ16,RCONJJ17,RCONJJ18,RCONJJ19,RCONJJ20,RCONJJ21,RCONJJ23,RCONJJ24,RCONJJ25,
,"Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Held to Maturity Securities, Securit","Held to Maturity Securities, Mortgag","Held to Maturity Securities, Asset b","Held to Maturity Securities, Other d","Held to Maturity Securities, Total","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Loans and Leases, Held for Investmen","Held to Maturity Securities, Securit","Held to Maturity Securities, Mortgag","Held to Maturity Securities, Asset b","Held to Maturity Securities, Other d","Held to Maturity Securities, Total",
603540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606046,,,,,,,,,,,,,,,,,,,,,3892527,10326987,9740713,9107925,95151,149470,33312773,34645,97503,133094,196685,6927,1168,0,470022,0,0,0,0,0,
606176,,,,,,,,,,,,,,,,,,,,,127690,183221,80782,154216,0,5832,551741,1304,2463,704,2779,0,210,99,7559,0,0,0,0,0,
606653,,,,,,,,,,,,,,,,,,,,,5794,525450,88000,263578,614,27642,911078,79,7098,1181,3558,9,373,0,12298,0,0,0,0,0,
607146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613008,,,,,,,,,,,,,,,,,,,,,702032,7089423,4515440,2065529,0,28518,14400942,7157,70905,45079,26697,0,1021,0,150859,0,0,0,0,0,
613156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613343,,,,,,,,,,,,,,,,,,,,,128175,586943,233889,245394,0,21432,1215833,842,7295,2302,3159,0,280,0,13878,0,0,0,0,0,
