"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
6039	0	0	0	0	0	0	5	0		0		0	313	287		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	5	0	0		0	0	26	0	
6329	0	7	0	0	0	0	1516	27		0		0	10668	425		0		0	0	0	0	0	0	0	0	0			0	0	16	0	13	0			0	0	0	0	0	0	0	0	0	0		8265	1299	1965	167	
7009	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7045	0	0	0	0	0	0	4	0				0	30	0		0							0	0	0	0			3	0	0	0	0	0			0	0	0	0	0	0	0	0				17	0	10	4	
7072	0	0	0	0	0	0	59	32				0	50	0		0				0		0	0	3	0	25			0	0	0	2	49	0			0	0	0	0	0	0	0	0				0	0	1	0	
7456	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7634	0	0	0	0	0	0	13	7				0	83	47		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	36	6	
8462	0	0	0	0	0	0	1	0				0	29	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				25	0	4	1	
8631	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9357	0	0	0	0	0	0	244	244				0	95	95		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9553	0	0	0	0	0	0	6	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	6	0	0	
9807	0	0	0	39	0	0	408	199		0		0	0	0		0		0	0	0	0	0	0	0	0	0			0	0	51	0	0	0			0	0	0	0	0	0	0	119	0	0		0	0	0	0	
9955	0	0	0	0	0	0	3	0				0	1	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	3	
10250	0	0	0	0	0	0	26	8				6	78	47		26				0		0	0	0	0	0			0	0	4	0	0	0			0	0	0	0	0	0	0	0				0	7	5	1	
10849	0	0	0	0	0	0	7	7				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
11145	0	0	0	0	0	0	16	0		0		0	85	0		0		0	0	0	0	0	0	0	0	0			0	0	4	0	0	0			0	0	0	0	0	0	0	0	0	0		29	2	56	10	
11640	0	0	0	0	0	0	27	0				16	203	0		203				176		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	11	
11837	0	0	0	0	0	0	32	32				0	1	0		1							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
12030	56	258	0	0	0	0	3227	215				33	1319	364		41				0		3	0	0	0	0			8	2	736	0	514	0			0	0	1	996	125	519	4	185				130	183	76	100	
12142	0	0	0	0	0	0	7	0				7	23	5		12				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	6	0	
12311	0	8	7277	458			90743		29411	0	0	651	272805		0	6074	77112	0	0	131	0	19	62	15	3475	2860	0	0	17492	4239	1686	841	2117	453	0	4716	48	13	2551	70	1692	5402	68858	15981	0	0	4384	29843	14826	50966	9894	
12647	0	0	0	0	0	0	2	0				0	0	0		0				0		0	0	0	0	0			0	2	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
12946	0	0	0	0	0	0	303	51				0	1177	506		0				0		0	0	0	0	0			89	0	33	0	22	0			0	0	0	2	0	0	0	0				86	59	474	158	
13103	0	0	0	0	0	0	57	0		0		0	704	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	556	0	0	0	0	0	0	0		114	54	34	3	
13251	0	0	0	0	0	0	11	4				0	10	8		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	7	
13457	0	0	0	0	0	0	14	0				14	1	0		1				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
14155	0	0	0	0	0	0	4	0				0	5	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				5	4	0	0	
14650	0	0	0	0	0	0	22	0				0	28	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				5	0	23	22	
14753	0	0	0	0	0	0	3	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	3	
14865	0	0	0	0	0	0	20	20				0	19	19		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
14977	0	0	0	0	0	0	0	0				0	7	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	7	0	
16551	0	0	0	0	0	0	64	1				0	18	0		0				0		0	0	0	0	2			4	0	0	0	0	0			0	0	0	0	0	14	0	45				0	0	14	2	
17110	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
17147	0	0	3	150	0	0	2157	1087		0		0	44054	42011		0		0	0	0	0	0	0	0	316	413			0	0	78	46	573	19			0	0	0	0	9	64	339	0	0	0		224	239	560	80	
17259	0	0	0	0	0	0	4	0				0	10	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	10	3	
17950	0	0	0	0	0	0	4	1				0	3	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	0	2	3	
17978	0	0	0	0	0	0	0	0				0	1	0		0				0		0	0	0	0	0			0	0	0	0	1	0			0	0	0	0	0	0	0	0				0	0	0	0	
18050	0	0	0	0	0	0	72	23				0	245	99		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				29	3	117	46	
18827	0	0	0	0	0	0	36	25				3	134	14		0				0		0	0	0	0	0			0	0	6	0	110	0			0	0	0	0	0	0	0	0				0	0	10	2	
18836	0	59	0	0	0	0	71	0				0	40	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	3	39	9	
18854	0	0	0	0	0	0	81	78		0		3	2000	2000		0		0	0	0	0	3	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
19356	0	0	0	0	0	0	0	0				0	10	0		8							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				2	0	0	0	
19936	0	0	0	0	0	0	21	0				2	14	0		4				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	15	0	4	0	0				0	0	10	0	
19972	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
20053	59	19	0	0	0	0	26	2				4	77	0		9							0	0	0	0			9	1	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
20633	0	0	0	0	0	0	0	0				0	144	0		8				0		0	0	0	0	0			0	0	0	0	9	0			118	0	0	0	0	0	0	0				0	0	9	0	
20857	0	180	0	0	0	0	226	0				46	2	0		0				0		46	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	0	1	0	
21256	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
21359	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
21658	0	0	0	0	0	0	1	0				1	5	0		5				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
22048	0	0	0	0	0	0	9	1				0	125	8		0							0	0	0	0			0	0	0	0	0	0			0	0	11	0	83	1	0	0				0	1	23	6	
22543	0	0	0	0	0	0	8	0				0	12	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	12	8	
22552	0	0	0	0	0	0	1	1				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
22730	0	0	0	0	0	0	108	0				0	207	0		0							0	0	0	0			0	0	3	0	0	0			0	0	0	0	0	0	0	0				0	0	207	105	
23456	0	0	0	0	0	0	219	14				182	26	0		7				0		182	0	0	0	0			0	1	0	0	0	0			0	0	0	0	0	0	0	1				0	0	19	21	
23504	0	0	2551	0	0	0	192	182		0		0	4571	1903		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	72	0	0	0	0	0		0	0	45	10	
23643	0	0	0	0	0	0	60	0				0	168	41		0				0		0	0	0	0	0			0	0	0	0	6	0			0	2	0	0	0	0	0	0				61	53	60	5	
23755	0	0	0	0	0	0	14	0				0	108	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				29	4	79	10	
24006	0	0	0	0	0	0	13	9				0	24	23		0				0		0	0	0	0	4			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	0	
24378	0	0	0	0	0	0	2	0				0	0	0		0							0	0	0	0			0	0	0	2	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
24659	0	0	0	0	0	0	37	32				0	3	0		0				0		0	0	0	0	0			0	0	4	0	0	0			0	0	0	0	0	0	0	0				0	1	3	0	
24949	0	0	0	0	0	0	19	0				0	5	0		0				0		0	0	0	0	1			1	1	5	1	0	0			0	0	0	0	0	11	0	0				0	0	4	0	
25357	184	0	0	0	0	0	505	421				39	1798	454		611				611		39	0	0	0	0			0	0	0	0	66	0			0	0	0	0	0	0	0	0				26	1	457	44	
25647	0	0	0	0	0	0	19	0		0		0	50	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	50	19	
26765	0	0	0	0	0	0	731	656				58	1004	633		114				0		0	0	0	0	0			0	0	10	0	59	0			0	0	0	0	198	7	0	0				0	0	0	0	
27070	0	0	0	0	0	0	2	0				0	4	0		0				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	0	4	1	
27614	0	0	0	0	0	0	0	0				0	5	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	5	0	
27847	0	4	0	0	0	0	107	34				0	235	65		0				0		0	0	0	0	0			0	0	44	0	11	0			0	0	0	0	78	12	0	0				35	9	46	4	
28013	0	0	136	9	0	0	71	34		0		0	2623	2487		0		0	0	0	0	0	0	0	0	0			0	0	0	9	0	0			0	0	0	0	0	19	0	0	0	0		0	0	0	0	
28152	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
28675	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
28732	0	0	0	0	0	0	7	6				0	7	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	7	1	
29476	0	0	0	0	0	0	3	0				3	16	0		0				0		0	0	0	0	0			0	0	0	0	9	0			0	0	0	0	0	0	0	0				7	0	0	0	
29636	0	0	0	0	0	0	106	5				1	143	35		0				0		1	0	0	0	0			67	18	37	0	1	0			0	0	0	2	0	21	5	5				7	7	28	10	
29878	0	0	0	0	0	0	0	0		0		0	0	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
30052	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
30502	0	0	0	0	0	0	122	8				12	113	36		26				0		0	0	0	30	32			0	0	0	49	0	0			0	0	0	0	0	4	0	0				0	1	21	16	
30810	0	0	0	0			553846		203	0	0	0	3633236		0	0	2472	0	0	0	0	0	0	0	0	0			3294879	513003	21	247	248	5157	718215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330480	40372	
31134	0	0	0	0	0	0	13	3				0	84	42		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				6	1	36	9	
31255	0	0	0	0	0	0	175	172		0		3	4	0		4		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
31657	0	0	0	0	0	0	31	17				0	22	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	22	14	
31826	0	0	0	0	0	0	29	12		0		0	113	0		0		0	0	0	0	0	0	11	0	0			0	0	5	0	1	0			0	0	0	0	75	0	0	0	0	0		14	5	23	7	
31835	0	0	0	0	0	0	17	0				0	18	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	18	17	
32234	0	0	0	0	0	0	19	0				0	23	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	23	19	
32766	0	0	0	0	0	0	189	2				0	288	13		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	275	0	0	100	0	0				0	0	0	87	
32971	0	0	0	0	0	0	33	13				0	41	0		0				0		0	0	0	0	1			0	0	4	0	0	0			0	0	0	0	0	0	0	0				0	0	41	15	
33147	0	0	0	0	0	0	2	0				0	70	59		0				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	0	11	1	
33259	0	0	0	0	0	0	15	0				0	1	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	15	0	0	0	0				0	0	1	0	
33370	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
33839	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
33857	0	0	0	0	0	0	10	3		0		1	0	0		0		0	0	0	0	1	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	3	0	3	
34434	0	1	0	0	0	0	297	22				0	442	33		0				0		0	0	0	0	0			9	2	0	0	0	0			0	241	254	0	94	14	0	0				14	1	38	16	
34537	0	0	0	0	0	0	2474	1490		0		0	16050	10606		0		0	0	0	0	0	0	0	26	22			9	0	376	0	180	0			0	0	2	12	0	0	317	36	0	0		270	92	4640	446	
34555	0	0	0	0	0	0	48	41		0		2	21	0		2		0	0	0	0	0	0	0	0	0			0	1	0	0	0	0			0	0	0	0	0	0	0	0	0	0		8	2	11	2	
34742	24	0	0	0	0	0	8	0				0	43	9		0				0		0	0	0	0	0			0	0	4	0	1	0			0	0	0	0	0	0	0	0				0	0	9	4	
35057	0	0	0	0	0	0	7	0				0	18	0		0				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	0	18	6	
35301	0	0	0	0			0		0	0	0	0	42000		0	0	17000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	25000	0	0	0	0	0	0	0	0	
35646	0	0	0	0	0	0	0	0				0	1	0		0				0		0	0	0	0	0			1	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
35879	0	0	0	0	0	0	1	0				0	10	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	10	1	
36456	0	0	0	0	0	0	8	8				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
36933	0	0	0	0	0	0	4	4				0	17	16		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	0	
37051	0	0	0	0	0	0	0	0				0	5	5		0				0		0	5	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
37341	0	0	0	0	0	0	16	6				3	74	61		0				0		3	0	0	0	0			0	0	1	0	1	0			0	0	0	0	0	0	0	0				2	2	10	4	
37435	0	0	0	0	0	0	601	155				0	1461	311		0				0		0	0	0	0	0			70	29	53	2	0	0			24	0	200	69	0	12	513	0				139	80	204	201	
37640	0	0	0	0	0	0	316	41		0		209	1660	131		562		0	0	0	0	0	0	0	134	9			333	15	0	0	0	2			0	0	0	0	308	0	0	9	0	0		64	4	126	29	
37659	0	0	0	0	0	0	1	0				0	11	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	11	1	
37949	0	0	0	0	0	0	45	33				0	3	0		0				0		0	0	0	0	0			3	0	12	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
38740	0	0	0	0	0	0	7	0				2	92	0		16				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	50	0	0	0				0	1	26	4	
39327	0	0	0	0	0	0	26	0				19	66	0		66				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	0	0	6	
39756	0	0	0	0	0	0	22	22		0		0	1	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	1	0	
40033	0	0	0	0	0	0	1	0				1	73	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	73	0	
40499	0	0	0	0	0	0	158	46		0		0	478	411		0		0	0	0	0	0	0	0	0	0			0	0	2	6	0	0			0	0	0	0	0	1	0	99	0	0		11	3	56	1	
40855	0	0	0	0	0	0	0	0				0	57	42		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				15	0	0	0	
