"IDRSSD"	RCONG554	RCONG555	RCONG556	RCONG557	RCONG558	RCONG559	RCONG560	RCONG561	RCONG562	RCONG563	RCONG564	RCONG565	RCONG566	RCONG567	RCONG568	RCONG569	RCONG570	RCONG571	RCONG572	RCONG573	RCONG574	RCONG575	RCONG576	RCONG577	RCONG578	RCONG579	RCONG580	RCONG581	RCONG582	RCONG583	RCONG584	RCONG585	RCONG586	RCONG587	RCONG588	RCONG589	RCONG590	RCONG804	RCONG805	RCONG806	RCONG807	RCONG808	RCONG809	RCONHT87	RCONHT88	RCONHT89	RCONHT91	RCONHT92	RCONHT93	RCONJA36	TEXTG546	TEXTG551	TEXTG556	TEXTG561	TEXTG571	TEXTG576	TEXTG581	TEXTG586	
	2ND GT $25K 25 PCT OTHR FV RCR LVL 2	2ND GT $25K 25 PCT OTHR FV RCR LVL 3	3RD GT $25K 25 PCT OTHR MEASURE FV R	3RD GT $25K 25 PCT OTHR RCR LESS AMT	3RD GT $25K 25 PCT OTHR FV RCR LVL 1	3RD GT $25K 25 PCT OTHR FV RCR LVL 2	3RD GT $25K 25 PCT OTHR FV RCR LVL 3	4TH GT $25K 25 PCT OTHR MEASURE FV R	4TH GT $25K 25% OTHR RCR LESS AMT FV	4TH GT $25K 25% OTHR FV RCR LVL 1 FV	4TH GT $25K 25 PCT OTHR FV RCR LVL 2	4TH GT $25K 25% OTHR FV RCR LVL 3 FV	OTHR $25K 25 PCT NON TRDING DRVT FV 	OTHR $25K 25 PCT NON TRDING DRVT LES	OTHR $25K 25PCT NON TRDING DRVT LVL 	OTHR $25K 25PCT NON TRDING DRVT LVL 	OTHR $25K 25PCT NON TRDING DRVT LVL 	1ST GT $25K 25 PCT OTHR LIAB FV	1ST GT $25K 25PCT OTHR LIAB LESS DTR	1ST GT $25K 25 PCT OTHR LIAB LVL 1 F	1ST GT $25K 25 PCT OTHR LIAB LVL 2 F	1ST GT $25K 25 PCT OTHR LIAB LVL 3 F	2ND GT $25K 25 PCT OTHR LIAB FV	2ND GT $25K OTHR LIAB LESS DTRM FV	2ND GT $25K 25 PCT OTHR LIAB LVL 1 F	2ND GT $25K 25 PCT OTHR LIAB LVL 2 F	2ND GT $25K 25 PCT OTHR LIAB LVL 3 F	3RD GT $25K 25% OTHR LIAB FV	3RD GT $25K 25PCT OTHR LIAB LESS DTR	3RD GT $25K 25% OTHR LIAB LVL 1 FV	3RD GT $25K 25 PCT OTHR LIAB LVL 2 F	3RD GT $25K 25 PCT OTHR LIAB LVL 3 F	4TH GT $25K 25 PCT OTHR LIAB FV	4TH GT $25K 25PCT OTHR LIAB LESS DTR	4TH GT $25K 25 PCT OTHR LIAB LVL 1 F	4TH GT $25K 25 PCT OTHR LIAB LVL 2 F	4TH GT $25K 25 PCT OTHR LIAB LVL 3 F	ALL OTHR ASSET LVL 3 FV MEASURE	ALL OTHR LIAB TOTAL FV RPT	ALL OTHR LIAB LESS AMT NET FV	ALL OTHR LIAB LVL 1 FV MEASURE	ALL OTHR LIAB LVL 2 FV MEASURE	ALL OTHR LIAB LVL 3 FV MEASURE	Loans measured at fair value, Loans 	Loans measured at fair value, Loans 	Loans measured at fair value, Loans 	Loans measured at fair value, Unpaid	Loans measured at fair value, Unpaid	Loans measured at fair value, Loans 	Available-for-sale debt securities a	1ST GT $25K 25 PCT OTHR MEASURE FV R	2ND GT $25K 25 PCT OTHR MEASURE FV R	3RD GT $25K 25 PCT OTHR MEASURE FV R	4TH GT $25K 25 PCT OTHR MEASURE FV R	1ST GT $25K 25 PCT OTHR LIAB FV	2ND GT $25K 25 PCT OTHR LIAB FV	3RD GT $25K 25% OTHR LIAB FV	4TH GT $25K 25 PCT OTHR LIAB FV	
186744																																																											
187648																																																											
187947													5865			5865																						0	5865	0	0	5865	0	0	0	0	0	0	0	432209									
188056																																																											
188177																																																											
188430													42			42																						0	42	0	0	42	0	57759	0	0	57404	0	0	12298									
188449																																																											
188720																																																											
188739																																																											
188917																																																											
189129																																																											
189950																																																											
190563																																																											
190648																																																											
190947																																																											
190956																																																											
191355																																																											
191935																																																											
192147																																																											
192558																																																											
192651																																																											
192857																																																											
193162																																																											
193537																																																											
193649																																																											
193809																																						2930	0	0	0	0	0	0	0	0	0	0	0	404871									
194440																																																											
194570																																																											
194936																																																											
195111																																																											
195157																																																											
195456																																																											
196752																																																											
196800																																						1700	0	0	0	0	0	0	0	0	0	0	0	84769									
197142																																																											
197254																																																											
197302																																																											
197478																																																											
197759																																																											
198073																																																											
198149																																																											
198251																																																											
198961																																																											
199137																																																											
199351																																																											
199436																																																											
199463																																																											
200435																																						0	0	0	0	0	0	0	0	0	0	0	0	157842									
201254																																																											
201834													1465			1465																						0	1465	0	0	1465	0	0	0	0	0	0	0	266645									
202514																																																											
202541																																																											
202907																																						0	0	0	0	0	0	0	0	0	0	0	0	2803054									
203043																																																											
203052																																																											
203575																																																											
204004																																						0	0	0	0	0	0	0	0	0	0	0	0	2644239									
204237																																																											
204826																																																											
205243																																																											
205346																																																											
205458																																																											
205542																																																											
206156																																																											
206174																																																											
206473																																																											
206772																																																											
206950																																																											
207041																																																											
207050																																																											
207452																																																											
207470																																																											
207555																																																											
207845																																																											
207872																																																											
208057																																						1781	0	0	0	0	0	0	0	0	0	0	0	388368									
208244																																																											
208347																																																											
208440																																																											
208459																																																											
208570																																																											
208655																																																											
208972																																																											
209148																																																											
209362																																																											
209559																																																											
209858																																																											
210238																																																											
210256																																																											
210434																																																											
211114																																																											
211271																																						24745	0	0	0	0	0	8036	0	0	7192	0	0	411321									
211338																																																											
211851																																																											
212018																																																											
212344																																																											
212522																																						0	0	0	0	0	0	0	0	0	0	0	0	600150									
212577																																						4218	0	0	0	0	0	0	0	0	0	0	0	134135									
213471																																																											
213538																																																											
213912																																						248	0	0	0	0	0	0	0	0	0	0	0	27645									
213958																																																											
214106																																						0	0	0	0	0	0	0	0	0	0	0	0	350329									
214414																																						0	0	0	0	0	0	0	0	0	0	0	0	361352									
214722																																						0	0	0	0	0	0	0	0	0	0	0	0	492038									
214807	0	0	0	0	0	0	0	0	0	0	0	0	548000	38000	0	586000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548000	38000	0	586000	0	0	0	0	0	0	0	376000									
215345																																																											
215653																																																											
215662																																						0	0	0	0	0	0	0	0	0	0	0	0	419464									
215710																																																											
216164																																																											
216230																																																											
216922																																						0	0	0	0	0	0	0	0	0	0	0	0	1867211									
217059																																																											
218131																																																											
218261																																																											
218878																																																											
219044																																																											
219651																																																											
219679																																																											
220059																																																											
220527																																						0	0	0	0	0	0	0	0	0	0	0	0	393260									
220844																																																											
220974																																																											
221775																																																											
222156																																																											
222558																																																											
222754																																																											
223322																																						7255	0	0	0	0	0	0	0	0	0	0	0	84167									
223452																																																											
223751																																																											
223845																																																											
224954																																																											
225054																																																											
225157																																																											
225559																																																											
225942																																																											
226949																																																											
227151																																																											
227357																																																											
227656																																																											
227777																																																											
228000																																																											
228158																																																											
228279																																																											
228345																																																											
229070																																																											
229173																																																											
229342																																																											
229454																																																											
229801																																																											
229913																																																											
230423																																																											
230610																																																											
230759																																						0	0	0	0	0	0	0	0	0	0	0	0	2353546									
231279																																																											
232847																																																											
232856																																																											
233031																																																											
233246																																																											
233358																																																											
233442																																																											
233527																																																											
233554																																																											
234355																		92			92																	10938	113	0	21	92	0	0	0	0	0	0	0	412707	FV MSR Hedging Derivatives				FV Adjustable Rate Hedges				
234506																																																											
234739																																																											
234841																																																											
235174																																																											
235231																																																											
235446																																																											
235530																																																											
235558																																																											
235950																																																											
236153																																						0	0	0	0	0	0	0	0	0	0	0	0	540464									
236256																																																											
236603																																																											
236706													27910			27910																						0	27910	0	0	27910	0	0	0	0	0	0	0	604855									
236957																																																											
237066																																						0	0	0	0	0	0	0	0	0	0	0	0	473812									
237619																																						0	0	0	0	0	0	0	0	0	0	0	0	257409									
237954																																																											
238139																																																											
238250																																																											
238737																																																											
239556																																																											
239613																																																											
239659																																																											
240954																																																											
241009																																																											
241157																																						0	0	0	0	0	0	0	0	0	0	0	0	195937									
241559																																																											
241607																																																											
242257																																																											
242444																																																											
242949																																																											
242958																																																											
242976																																																											
243375																																																											
243414																																																											
243955																																																											
244037																																																											
244149																																						0	0	0	0	0	0	106326	0	0	103908	0	0	55758									
244158																																																											
244251																																																											
245016																																																			Interest Rate Swap	Life Insurance			Interest Rate Swap				
245276																																						49789	0	0	0	0	0	0	0	0	0	0	0	2096409									
245351																																																											
245557																																																											
246022																																																											
246134																																																											
246451																																																											
246657																																						0	0	0	0	0	0	0	0	0	0	0	0	443787									
246947																																																											
246956																																																											
247140																																																											
247355																																																											
247476																																																											
247551																																																											
247908																																																											
248240																																						108	14	0	0	14	0	0	0	0	0	0	0	96027									
248352																																																											
248455																																																											
248633																																																											
248745																																																											
249416																																																											
249612													1227			1227																						0	1227	0	0	1227	0	0	0	0	0	0	0	3034308									
249658																																																											
250430																																																											
250476																																																											
250850																																																											
251352																																																											
251558																																																											
251745																																																											
251978																																																											
252041																																																											
252452																																																											
253356																																						0	0	0	0	0	0	0	0	0	0	0	0	397176									
253468																																						0	0	0	0	0	0	0	0	0	0	0	0	714150									
253646																																																											
253730																																																											
254317																																																											
254504																																																											
254849																																																											
255350																																																											
255547																																																											
255556																																																											
255574																																																											
255659																																						0	0	0	0	0	0	0	0	0	0	0	0	2756986									
256058																																																											
256076																																																											
256179																																																											
256553																																						179	0	0	0	0	0	0	0	0	0	0	0	585667	Foreclosed Assets								
257233																																																											
257345																																																											
257578																																																											
257653																																																											
257756																																																											
258146																																																											
258306																																																											
258379																																																											
258539																																																											
258771													11822	14	10	11784	42																					74250	11822	14	10	11784	42	23433	0	0	23451	0	0	1129567									
258874																																																											
259059																																																											
259330																																						0	0	0	0	0	0	0	0	0	0	0	0	144008									
259442																																																											
259956																																																											
260055													4			4																						0	4	0	0	4	0	5566	0	0	5564	0	0	717416									
260831																																																											
261146																																																											
261360																																																											
261940																																																											
262059																																																											
262237																																																											
262358																																																											
262741																																																											
262844																																																											
262956																																																											
263243																																																											
263627																																																											
264455																																																											
264772	0	0	0	0	0	0	0	0	0	0	0	0	13884	0	0	4070	9814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45740	13884	0	0	4070	9814	0	0	1121884	0	0	1187342	2814383	Loan Servicing Asset								
265340																																																											
265407																																																											
265452																																																											
265676																																																											
266244																																																											
266253																																																											
266655																																																											
266851																																																											
266945																																																											
267652																																																											
268006													25			25																						0	25	0	0	25	0	0	0	0	0	0	0	358736									
268136																																																											
268677																																						130	0	0	0	0	0	0	0	0	0	0	0	46945									
268828																																																											
268976																																																											
269049																																																											
269058																																																											
269571																																																											
269759																																																											
270148																																																											
270353																																																											
270504																																																											
270531																																																											
270652																																																											
271136																																																											
271275																																																											
271341																																																											
271529																																																											
272030																																																											
272058																																																											
272151																																																											
272272																																																											
272302																																						0	0	0	0	0	0	0	0	0	0	0	0	492473									
273336	4623		4784				4784											4623			4623																	4784	4623	0	0	4623	0	0	0	0	0	0	0	647373		Gross Positive Fair Value of Back to Back SWAPs	Net FV of LLP fund assets		Gross Negative Fair Value of Back to Back SWAPs				
273550																																																											
273653																																																											
273662																																																											
273840																																																											
273859																																																											
274025																																																											
274052																																																											
274829																																																											
274856																																																											
275255																																																											
275358																																																											
275479																																																											
275657																																																											
276074																																																											
276159																																																											
276551																																																											
276579													382283			382283																						121149	406909	0	24626	382283	0	0	58279	0	0	56651	0	9689957	Bank owned life insurance								
276645																																																											
276654																																																											
276850																																																											
276953																																																											
277240																																																											
277277																																																											
277736																																																											
277820																																																											
278256																																																											
278555																																																											
278733																																																											
278751																																																											
278818																																						0	0	0	0	0	0	0	0	0	0	0	0	385240									
279105																																						0	0	0	0	0	0	0	0	0	0	0	0	310915									
279842																																																											
279954																																						0	0	0	0	0	0	0	0	0	0	0	0	343904									
280110																																																			Equity securities that do not have readily determinable fair values								
280138																																																											
280352																																																											
280558																																																											
282075																																																											
282226																																																											
282824																																																											
283438																																						0	0	0	0	0	0	0	0	0	0	0	0	315650									
283652																																																											
283737																																																											
283867																																																											
284154																																																											
284239																																																											
284556																																																											
284752																																																											
284958																																																											
285151																																																											
285348																																																											
285544																																						0	0	0	0	0	0	0	0	0	0	0	0	8710									
285553																																																											
285740																																						0	0	0	0	0	0	0	0	0	0	0	0	137463									
285852																																																											
285928																																																											
286251																																																											
286457																																																											
286840																																																											
287007																																																											
287342																																																											
287922																																																											
287959																																																											
288152																																																											
288376																																																											
288853																																						12287	41	0	0	9	32	0	0	0	0	0	0	5913712									
289056																																																											
289225																																																											
289515																																																											
289702																																																											
289739																																																											
289757																																																											
290249																																																											
290838																																																											
290922																																																											
291059																																																											
291376																																																											
291611																																																											
291732																																																											
292234																																																											
292467																																																											
292850																																																											
292908																																						1109	0	0	0	0	0	0	0	0	0	0	0	263740									
293053																																																											
293352																																																											
293437																																																											
293651																																																											
293754																																																											
294023																																																											
294751																																																											
294779																																						0	0	0	0	0	0	0	0	0	0	0	0	75351									
294827																																																											
295011																																																											
295057																																																											
295646																																																											
296456																																																											
296474																																																											
296559																																																											
296755																																																											
296858																																																											
297051																																																											
297761																																																											
298049																																																											
298218																																																											
298245																																																											
299868																																																											
300009																																																											
300063																																																											
300353																																																											
300933																																																											
300942																																																											
300960																																																											
301574																																																											
301800																																						0	0	0	0	0	0	0	0	0	0	0	0	170251									
302030																																																											
302133																																																											
302553																																																											
302656													2480			2480																						0	2480	0	0	2480	0	0	0	0	0	0	0	576504									
303653																																																											
303701																																																											
303747																																																											
303952																																																											
304173																																																											
304520																																																											
304575																																																											
304762																																																											
304913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
305059																																																											
305077																																																											
305237																																																											
305442																																																											
306056																																																											
306159																																																											
306337																																																											
306908																																																											
307062																																																											
307334																																																											
307361																																																											
307679																																																											
308256																																																											
308340																																																											
308836																																																											
309150																																																											
309655																																																											
309851																																																											
310754																																																											
310950																																																											
310978													13275			13158	117																					1281	13275	0	0	13158	117	222756	0	0	222756	0	0	205101									
311050																																																											
311144																																																											
311256																																																											
311265																																																											
311603																																																											
311658																																																											
311845																		26132				26132																341135	27414	336	0	1615	26135	155594	0	0	165835	0	0	6180036					GNMA ROAP early buyout eligible loans				
311939																																																											
312244																																																											
312356																																																											
313009																																																											
313157																																																											
313223																																																											
313577																																																											
314257																																																											
314444																																																											
315656																																																											
316840	445																	42			42																	0	42	0	0	42	0	9703	0	8341	9538	0	8396	475933		Rate Lock Loan Commitments			Mandatory Forward Contracts				
316859																																																											
316934																																																											
317258																																																											
317342													10912			10912																						0	10912	0	0	10912	0	6438	0	0	6317	0	0	961628									
317379																																																											
317650																																																											
318974																																																											
319047																																																											
319551																																																											
320034																																																											
320052																																																											
320070																																																											
320119													13577			13577																						0	13577	0	0	13577	0	0	0	0	0	0	0	1541070									
321152																																																											
321255																																																											
321273																																																											
321330																																																											
321947																																																											
322449																																																											
322551																																																											
323204																																																											
323651																																																											
324153																																																											
324229																																																											
324256																																																											
324340													1			1																						0	1	0	0	1	0	0	0	0	0	0	0	497033									
324854																																																											
324863																																						0	0	0	0	0	0	0	0	0	0	0	0	189021									
324975																																																											
325141																																																											
325459																																																											
325534																																																											
326054																																																											
326344																																																											
326858																																																											
326979																																																											
327220																																																											
327305																																						0	0	0	0	0	0	0	0	0	0	0	0	150922									
327435																																																											
327556																																																											
327855																																																											
328058																																																											
328357																																						0	0	0	0	0	0	0	1579	0	0	1594	0	5869									
328656																																																											
328777													113			113																						0	113	0	0	113	0	0	0	0	0	0	0	623467	SBIC Investment								
329149																																																											
329345																																																											
329550																																																											
329952																																																											
330239																																																											
330248																																																											
330855																																						0	0	0	0	0	0	0	0	0	0	0	0	286990									
330873																																																											
330949																																																											
331076																																																											
331375																																																											
331544																																																											
331713																																																											
332224																																																											
332345																																																											
332671																																																											
332756																																																											
333034																																																											
333203																																						0	0	0	0	0	0	0	0	0	0	0	0	254071									
333650																																																											
333856																																																											
333940																																																											
334264																																																											
335346																																																											
336147																																																											
336361																																																											
336576																																																											
337340																																																											
338646																																																											
338945																																																											
339072																																						0	0	0	0	0	0	0	0	0	0	0	0	33718									
339353																																																											
339456																																																											
339607																																																											
339773													28985			28985																						0	28985	0	0	28985	0	0	0	0	0	0	0	205065									
339858	0	0	0	0	0	0	0	0	0	0	0	0	1470	0	0	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333246	1470	0	0	1470	0	105706	0	0	105922	0	0	12843476									
340135																																																											
340144																																																											
340256																																																											
340443																																																											
340742	313		18			18		38			38							25			25		3			3		30			30		36			36		0	94	0	0	94	0	0	0	0	0	0	0	123814	Interest rate swap	Mortgage interest rate lock commitments	Mortgage written options	TBAs related to mortgage banking	Interest Rate Swap	Mortgage interest rate lock commitments	Mortgage written options	TBAs related to mortgage banking	
340751																																																											
341310																																																											
342054																																																											
342362																																																											
342410													205			205																						75	205	0	0	205	0	1562	0	0	1531	0	0	528973									
342634													3339			3324	15																					137364	3339	0	0	3324	15	103137	0	0	101690	0	0	1621659	Loans held for sale								
343051																																																											
343248																																																											
343770																																																											
343903																																																											
343958																																																											
344647																																						0	0	0	0	0	0	0	0	0	0	0	0	294002									
344852																																																											
345309																																						0	0	0	0	0	0	0	0	0	0	0	0	321453									
345345																																																											
345747																																																											
345756																																						0	0	0	0	0	0	0	0	0	0	0	0	35332									
345877																																																											
346379																																																											
346566																																																											
346771																																																											
347022																																																											
347639																																																											
347956																		8040			8040																	0	8040	0	0	8040	0	0	0	0	0	0	0	44486	INTEREST RATE SWAPS				INTEREST RATE SWAPS				
348159																																																											
348720																																																											
349129																																																											
349343																																																											
350572																																																											
350657																																																											
350750																																																											
351131																																																											
351560																																																											
351878																																																											
352370																																																											
352651																																																											
352745																																																											
352772													43794	-1814		41979	1																					10538	43794	-1814	0	41979	1	10147	0	0	9848	0	0	2207657	Investments in limited partnerships at fair value								
353238																																																											
353546																																																											
353555																																						0	0	0	0	0	0	0	0	0	0	0	0	426287									
353957																																																											
354057																																																											
354253																																																											
354310																		7685			7685																	0	8554	0	0	7824	730	0	0	0	0	0	0	345049	Interest Rate Locks				Interest Rate Swaps				
354552																																																											
354851																																																											
355120																																																											
355559																																																											
355858																																						0	0	0	0	0	0	0	0	0	0	0	0	139396									
356239																																																											
356659																																																											
356752																																																											
357526																																																											
357553																																																											
357777																																																											
